Name,SKU,Stock,Retail Price,Discounted Price,image_url,Website Link,image_id,image_filename,image_exists
Handloom Pure Silk Sarees - QS216160,QS216160,0,9995,9130,https://byrappasilk.in/storage/uploads/rvqUg5eeUDdNwCadDHEk6HueIClqSw9xPPcLBNe7.webp,https://byrappasilks.in/shop/handloom_pure_silk_sarees_qs216160_1749623421,43,000043.webp,True
Organza Saree Yellow Colour - QS216263,QS216263,0,10995,10045,https://byrappasilk.in/storage/uploads/5xAZJR0hOD64wwXfbMxwneZSKlRl9ea3nlzDD2dS.webp,https://byrappasilks.in/shop/organza_saree_yellow_colour_qs216263_1766401127,44,000044.webp,True
Organza Saree Wine Colour - QS216261,QS216261,0,10995,10045,https://byrappasilk.in/storage/uploads/vypuwKsFjMxO0n6k26lWS0s4Rr3dhYNxuxEwoDo4.webp,https://byrappasilks.in/shop/organza_saree_wine_colour_qs216261_1766400540,45,000045.webp,True
Organza Saree - Blue Colour - QS216260,QS216260,0,10995,10045,https://byrappasilk.in/storage/uploads/TjS4TZONDrei7qFe2eXLYVjHiPS6XGtDXcGg5i5P.webp,https://byrappasilks.in/shop/organza_saree_blue_colour_qs216260_1766400384,46,000046.webp,True
Organza Saree - Black Colour - QS216262,QS216262,0,10995,10045,https://byrappasilk.in/storage/uploads/cEceux4XcMh1iU8SKV5GKpIhmbQZbnR9Gh8743aw.webp,https://byrappasilks.in/shop/organza_saree_black_colour_qs216262_1766399713,47,000047.webp,True
Aplic Work Sarees - QS216113,QS216113,0,15995,14610,https://byrappasilk.in/storage/uploads/6712WTJlubc92zvHsPT8a8cpkKqlQ8ZJoxp2wn1V.webp,https://byrappasilks.in/shop/aplic_work_sarees_qs216113_1749724108,48,000048.webp,True
Aplic Work Sarees - QS216114,QS216114,0,15995,14610,https://byrappasilk.in/storage/uploads/6W2kp9SWgUHhFU7fFhxaEZVmIn02Mv2oPJCARkkE.webp,https://byrappasilks.in/shop/aplic_work_sarees_qs216114_1749724202,49,000049.webp,True
Aplic Work Sarees - QS214968,QS214968,0,15995,14610,https://byrappasilk.in/storage/uploads/hxG2pkQJJFR3X1m0VYJT56skBF6WXjbzs8v0LVLI.webp,https://byrappasilks.in/shop/aplic_work_sarees_qs214968_1749908217,50,000050.webp,True
Satin Printed (Aditya Birla Fabric) - White Colour - QS213561,QS213561,0,1295,1180,https://byrappasilk.in/storage/uploads/x512tw18NLdI97EznXdx1EOimuTVVFPlEDkcXETU.webp,https://byrappasilks.in/shop/satin_printed_aditya_birla_fabric_white_colour_qs213561_1749813980,51,000051.webp,True
Semi-Crape Printed Saree -Blue Colour - QS214419,QS214419,0,4900,2570,https://byrappasilk.in/storage/uploads/tvTtjTm5KPLTyD0LLr5Ml7AZonFn4vBcl2ZfEuOn.webp,https://byrappasilks.in/shop/semi_crape_printed_saree_blue_colour_qs214419_1754807743,52,000052.webp,True
